trip_id,route_id,service_id,trip_headsign,direction_id
601,ΘΕΣΣΑΘΗΝ,A,Αθήνα,1
601Α,ΑΛΕΛΘΕΣΣ,A,Θεσσαλονίκη,1
61,ΘΕΣΣΑΘΗΝ,A,Αθήνα,1
6520,ΛΕΙΑΣΤΥΛ_,A,Στυλίδα,0
6521,ΣΤΥΛΛΕΙΑ_,A,Λειανοκλάδι,1
6522,ΛΕΙΑΛΑΜΙ_,A,Λαμία,0
6523,ΛΑΜΙΛΕΙΑ_,A,Λειανοκλάδι,1
6524,ΛΕΙΑΛΑΜΙ_,A,Λαμία,0
6525,ΛΑΜΙΛΕΙΑ_,A,Λειανοκλάδι,1
6526,ΛΕΙΑΛΑΜΙ_,A,Λαμία,0
6527,ΣΤΥΛΛΕΙΑ_,A,Λειανοκλάδι,1
730,ΕΔΕΣΘΕΣΣ,A,Θεσσαλονίκη,0
739,ΘΕΣΣΕΔΕΣ,A,Έδεσσα,1
743,ΘΕΣΣΕΔΕΣ,A,Έδεσσα,1
81,ΘΕΣΣΦΛΩΡ,A,Φλώρινα,1
82,ΦΛΩΡΘΕΣΣ,A,Θεσσαλονίκη,0
83,ΘΕΣΣΦΛΩΡ,A,Φλώρινα,1
84,ΦΛΩΡΘΕΣΣ,A,Θεσσαλονίκη,0
85,ΘΕΣΣΦΛΩΡ,A,Φλώρινα,1
86,ΦΛΩΡΘΕΣΣ,A,Θεσσαλονίκη,0
880,ΛΑΡΙΚΑΛΑ,A,Καλαμπάκα,0
881,ΚΑΛΑΠΑΛΦ,A,Παλαιοφάρσαλος,1
882,ΠΑΛΦΚΑΛΑ,A,Καλαμπάκα,0
884,ΑΘΗΝΚΑΛΑ,A,Καλαμπάκα,0
885,ΚΑΛΑΑΘΗΝ,A,Αθήνα,1
886,ΠΑΛΦΚΑΛΑ,A,Καλαμπάκα,0
887,ΚΑΛΑΠΑΛΦ,A,Παλαιοφάρσαλος,1
888,ΠΑΛΦΚΑΛΑ,A,Καλαμπάκα,0
889,ΚΑΛΑΠΑΛΦ,A,Παλαιοφάρσαλος,1
90,ΘΕΣΣΑΛΕΛ,A,Αλεξανδρούπολη Λιμάνι,0
91,ΑΛΕΛΘΕΣΣ,A,Θεσσαλονίκη,1
Β570,ΛΑΡΙΒΟΛΟ_,B,Βόλος,0
Β573,ΒΟΛΟΛΑΡΙ_,B,Λάρισα,1
Β574,ΛΑΡΙΒΟΛΟ_,B,Βόλος,0
Β575,ΒΟΛΟΛΑΡΙ_,B,Λάρισα,1
Β576,ΛΑΡΙΒΟΛΟ_,B,Βόλος,0
Β577,ΒΟΛΟΛΑΡΙ_,B,Λάρισα,1
Λ10Ε,ΠΚΙΑΠΑΤΡ_,A,Πάτρα,0
Λ11Ε,ΠΑΤΡΠΚΙΑ_,A,Κιάτο,0
Λ12Ε,ΠΚΙΑΠΑΤΡ_,A,Πάτρα,1
Λ14,ΠΚΙΑΠΑΤΡ_,A,Πάτρα,0
Λ15Ε,ΠΑΤΡΠΚΙΑ_,A,Κιάτο,1
Λ17Ε,ΠΑΤΡΠΚΙΑ_,A,Κιάτο,0
Λ18Ε,ΠΚΙΑΠΑΤΡ_,A,Πάτρα,0
Λ19,ΠΑΤΡΠΚΙΑ_,A,Κιάτο,1
Λ20Ε,ΠΚΙΑΠΑΤΡ_,A,Πάτρα,1
Λ21Ε,ΠΑΤΡΠΚΙΑ_,A,Κιάτο,1
Λ22,ΠΚΙΑΠΑΤΡ_,A,Πάτρα,0
Λ23Ε,ΠΑΤΡΠΚΙΑ_,A,Κιάτο,0
Λ24Ε,ΠΚΙΑΠΑΤΡ_,A,Πάτρα,0
Λ25Ε,ΠΑΤΡΠΚΙΑ_,A,Κιάτο,1
Λ26Ε,ΠΚΙΑΠΑΤΡ_,A,Πάτρα,1
Λ3Ε,ΠΑΤΡΠΚΙΑ_,A,Κιάτο,0
Λ4Ε,ΠΚΙΑΠΑΤΡ_,A,Πάτρα,0
Λ7,ΠΑΤΡΠΚΙΑ_,A,Κιάτο,1
Λ8,ΠΚΙΑΠΑΤΡ_,A,Πάτρα,0
Λ9,ΠΑΤΡΠΚΙΑ_,A,Κιάτο,1
