stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
"480",,"Manterovčak",,45.819202,15.905991,,,0,
"481",,"Jalšina",,45.822975,15.906612,,,0,
"482",,"Margalići",,45.826500,15.905551,,,0,
"484",,"Horvatnica",,45.832735,15.903592,,,0,
"485",,"Vrapčanska 269",,45.838481,15.901040,,,0,
"486",,"Gornje Vrapče",,45.842936,15.899797,,,0,
"487",,"Divoselska",,45.819994,15.927202,,,0,
"488",,"Skočilovići",,45.821874,15.925980,,,0,
"489",,"Kustošijski venec",,45.825243,15.922618,,,0,
"490",,"Završje",,45.831245,15.922333,,,0,
"491",,"Krvarić - okretište",,45.841442,15.914307,,,0,
"492",,"Ulica Črnomerec 46",,45.819780,15.935496,,,0,
"493",,"Strma cesta",,45.823760,15.934718,,,0,
"494",,"Josipa Šabana",,45.827957,15.931164,,,0,
"495",,"Fraterščica 83",,45.832196,15.930276,,,0,
"496",,"Miroslava Vaupotića",,45.835825,15.929573,,,0,
"497",,"Lubenjaki",,45.840346,15.928246,,,0,
"498",,"Gorenci",,45.843729,15.926950,,,0,
"499",,"Mikulići-Talani",,45.847672,15.928822,,,0,
"500",,"Sveti Duh",,45.819752,15.937821,,,0,
"501",,"Orahovac",,45.823689,15.938506,,,0,
"502",,"Čukovići",,45.827003,15.938090,,,0,
"503",,"Trsje",,45.830454,15.938737,,,0,
"504",,"Bijenik - crkva",,45.833212,15.938614,,,0,
"505",,"Čičkovina",,45.834675,15.937288,,,0,
"506",,"Viktora Vide",,45.838447,15.935727,,,0,
"507",,"Selišće",,45.844102,15.936382,,,0,
"508",,"Trpučev breg",,45.847327,15.938747,,,0,
"509",,"Lukšići 30",,45.850169,15.938581,,,0,
"510",,"Lukšići-okretište",,45.853048,15.935213,,,0,
"511",,"Dubravica",,45.818929,15.871837,,,0,
"512",,"Gajnički vidikovac",,45.820615,15.872070,,,0,
"513",,"Rušiščak",,45.830491,15.877118,,,0,
"514",,"Borčec",,45.832237,15.880598,,,0,
"515",,"Gospodska 11",,45.813691,15.886617,,,0,
"516",,"Bukoščak",,45.820653,15.849838,,,0,
"517",,"Bizek I",,45.824408,15.854373,,,0,
"518",,"Bizek III",,45.827394,15.859358,,,0,
"519",,"Lisičina",,45.826295,15.861704,,,0,
"520",,"Gustava Krkleca",,45.797995,15.900925,,,0,
"521",,"Antuna Šoljana",,45.801622,15.902994,,,0,
"522",,"Tržnica Špansko",,45.802162,15.898437,,,0,
"523",,"Matije Vlačića",,45.801955,15.894881,,,0,
"524",,"Špansko-okretište",,45.802229,15.889777,,,0,
"527",,"Savski Gaj XII.",,45.772074,15.951600,,,0,
"528",,"Naletilićeva",,45.766379,15.946653,,,0,
"529",,"Brezovička 28",,45.764510,15.937115,,,0,
"530",,"Bašćanske ploče",,45.757326,15.933917,,,0,
"531",,"Botinec",,45.755224,15.938467,,,0,
"532",,"Zlatareva zlata",,45.757328,15.944363,,,0,
"533",,"Lukoranska",,45.760339,15.945712,,,0,
"534",,"Karlovačka 18",,45.766681,15.931974,,,0,
