stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
15864,15864,Rte 104 & Davis Dr,,43.465884,-76.418371,,,,,,0
15866,15866,Rte 104 & Creamery Rd,,43.465428,-76.430437,,,,,,0
15867,15867,Rte 104 & Schaad Dr,,43.464764,-76.437798,,,,,,0
15868,15868,Rte 104 & Co Rte 53,,43.464457,-76.445668,,,,,,0
15869,15869,Rte 104 & Simpson Dr,,43.463482,-76.456355,,,,,,0
15870,15870,Rte 104 & Co Rte 63,,43.462995,-76.468905,,,,,,0
15871,15871,Rte 104 & City Line Rd,,43.46291,-76.4714,,,,,,0
15873,15873,Rte 104 & E 13th St,,43.460611,-76.489716,,,,,,0
15874,15874,Rte 104 & E 12th St,,43.460517,-76.492124,,,,,,0
15878,15878,Rte 104 & E 10th St,,43.460463,-76.497077,,,,,,0
15880,15880,E Bridge St & E 9th St,,43.460137,-76.499212,,,,,,0
15882,15882,E Bridge St & E 7th St,,43.459515,-76.501307,,,,,,0
15883,15883,E Bridge St & E 6th St,,43.459208,-76.502361,,,,,,0
15885,15885,E Bridge St & E 4th St,,43.458577,-76.504457,,,,,,0
15886,15886,E Bridge St & E 3rd St,,43.458297,-76.505449,,,,,,0
15888,15888,E Bridge St & E 1st St,,43.457603,-76.507756,,,,,,0
15890,15890,JC Penny Oswego Plaza,,43.459453,-76.486261,,,,,,0
15897,15897,E 10th St & Mohawk St,,43.458333,-76.49594,,,,,,0
15898,15898,E 10th St & E Utica St,,43.457063,-76.49524,,,,,,0
15899,15899,E 10th St & E Albany St,,43.455872,-76.49459,,,,,,0
15901,15901,Cherry St & Church St,,43.453277,-76.492967,,,,,,0
15902,15902,East Ave & Chestnut St,,43.452841,-76.491365,,,,,,0
15905,15905,Hamilton Homes,BUNNER ST & DRIVEWAY,43.450468,-76.490847,,,,,,0
15909,15909,Bunner St & E 8th St,,43.449323,-76.494865,,,,,,0
15910,15910,Bunner St & E 7th St,,43.449052,-76.495857,,,,,,0
15912,15912,E 7th St & Church St,,43.451549,-76.497182,,,,,,0
15914,15914,E 7th St & E Albany St,,43.454288,-76.49852,,,,,,0
15915,15915,E 7th St & E Utica St,,43.455532,-76.499207,,,,,,0
15918,15918,E Utica St & E 4th St,,43.454845,-76.502258,,,,,,0
15919,15919,E 4th St & E Mohawk St,,43.455865,-76.503044,,,,,,0
15920,15920,E 4th St & E Oneida St,,43.457145,-76.503757,,,,,,0
15921,15921,E 4th St & E Bridge St,,43.458406,-76.504469,,,,,,0
15922,15922,E 4th St & E Cayuga St,,43.459776,-76.505256,,,,,,0
15923,15923,E 4th St & E Seneca St,,43.461046,-76.505931,,,,,,0
15926,15926,E Seneca St & E 7th St,,43.461912,-76.502992,,,,,,0
15928,15928,E Seneca St & E 9th St,,43.462588,-76.50076,,,,,,0
15931,15931,E 10th St & E Cayuga St,,43.462074,-76.498027,,,,,,0
15932,15932,E 10th St & E Bridge St,,43.460723,-76.497277,,,,,,0
15933,15933,E 9th St & E Schuyler St,,43.463832,-76.501398,,,,,,0
15935,15935,E 9th St & Mitchell St,,43.466374,-76.50281,,,,,,0
15937,15937,Mitchell St & E 10th St,,43.466933,-76.500925,,,,,,0
15939,15939,E 10th St & E Schuyler St,,43.464472,-76.499352,,,,,,0
15941,15941,E 10th St & E Seneca St,,43.463228,-76.498664,,,,,,0
15958,15958,E 10th St & E Cayuga St,,43.461949,-76.497915,,,,,,0
15959,15959,E 10th St & E Seneca St,,43.46322,-76.498627,,,,,,0
15961,15961,E 10th St & E Schuyler St,,43.464446,-76.499314,,,,,,0
15963,15963,E 10th St & Mitchell St,,43.467014,-76.500739,,,,,,0
15965,15965,Mitchell St & E 9th St,,43.46641,-76.502823,,,,,,0
15967,15967,E 9th St & E Schuyler St,,43.46385,-76.501448,,,,,,0
15968,15968,E 9th St & E Seneca St,,43.462615,-76.500773,,,,,,0
15980,15980,E Seneca St & E 7th St,,43.462002,-76.502831,,,,,,0
15983,15983,E Seneca St & E 4th St,,43.461136,-76.505795,,,,,,0
15984,15984,E 4th St & E Cayuga St,,43.459793,-76.505306,,,,,,0
15985,15985,E 4th St & E Bridge St,,43.458541,-76.504581,,,,,,0
15987,15987,East Ave & Magnolia Rd,,43.45135,-76.484147,,,,,,0
15988,15988,East Ave & Christopher Circle,,43.450985,-76.482371,,,,,,0
15989,15989,East Ave & Talisman Ter,,43.45063,-76.480731,,,,,,0
15990,15990,East Ave & City Line Rd,,43.449919,-76.477613,,,,,,0
15991,15991,City Line Rd & Skyline Dr,,43.451972,-76.476553,,,,,,0
15992,15992,City Line Rd & Birch Ln,,43.454823,-76.475184,,,,,,0
15996,15996,E Albany St & Jimmy Shampine Dr,,43.458446,-76.483129,,,,,,0
15997,15997,E Albany St & Oswego Plaza,,43.458055,-76.486517,,,,,,0
15998,15998,Price Chopper Plaza Osw,,43.462266,-76.486519,,,,,,0
16000,16000,Oswego Plaza & E Albany St,,43.458036,-76.487013,,,,,,0
16001,16001,E Albany St & Jimmy Shampine Dr,,43.458491,-76.483539,,,,,,0
16002,16002,E Albany St & City Line Rd,,43.456329,-76.474569,,,,,,0
16004,16004,Beech Dr & Birch Ln,,43.456191,-76.471428,,,,,,0
16005,16005,Birch Ln & City Line Rd,,43.454877,-76.475172,,,,,,0
16006,16006,City Line Rd & Skyline Dr,,43.45216,-76.476578,,,,,,0
16007,16007,City Line Rd & East Ave,,43.449964,-76.477576,,,,,,0
16008,16008,East Ave & Talisman Ter,,43.450621,-76.480545,,,,,,0
16009,16009,East Ave & Christopher Cir,,43.450977,-76.482234,,,,,,0
16010,16010,East Ave & Magnolia Rd,,43.451323,-76.483837,,,,,,0
16011,16011,Bunner St & Maple St,,43.451639,-76.48776,,,,,,0
16013,16013,Washington Blvd & 3rd Ave,,43.45383,-76.529911,,,,,,0
16016,16016,Washington Blvd & Sheldon Ave,,43.453668,-76.534752,,,,,,0
16019,16019,Washington Blvd & Baylis St,,43.453581,-76.537582,,,,,,0
16023,16023,Washington Blvd & 3rd Ave,,43.453767,-76.530333,,,,,,0
16025,16025,W Bridge St & W 7th St,,43.454626,-76.517687,,,,,,0
16060,16060,W 3rd St & W Oneida St,,43.45469,-76.512673,,,,,,0
16061,16061,W 3rd St & W Mohawk St,,43.453438,-76.511985,,,,,,0
16062,16062,W 3rd St & W Utica St,,43.452185,-76.511273,,,,,,0
16064,16064,W Utica St & W 5th St,,43.451608,-76.51317,,,,,,0
16066,16066,W Utica St & W 7th St,,43.450958,-76.515265,,,,,,0
16070,16070,W Utica St & Dublin St,,43.44992,-76.519196,,,,,,0
16073,16073,W Utica St & Liberty St,,43.449798,-76.522124,,,,,,0
16075,16075,W Utica St & Hillside Ave,,43.449625,-76.5273,,,,,,0
16082,16082,W Utica St & 4th Ave,,43.449502,-76.530589,,,,,,0
16083,16083,W Utica St & 5th Ave,,43.449473,-76.531532,,,,,,0
16084,16084,5th Ave & Hwy 104,,43.451533,-76.531925,,,,,,0
16085,16085,5th Ave & Washington Blvd,,43.453708,-76.532418,,,,,,0
16086,16086,5th Ave & Hwy 104,,43.451854,-76.532274,,,,,,0
16087,16087,5th Ave & W Utica St,,43.449464,-76.53173,,,,,,0
16088,16088,W Utica St & 4th Ave,,43.449447,-76.530911,,,,,,0
16090,16090,W Utica St & Hillside Ave,,43.449562,-76.527647,,,,,,0
16092,16092,W Utica St & Liberty St,,43.449743,-76.522397,,,,,,0
16094,16094,W Utica St & Babcock St,,43.449847,-76.520089,,,,,,0
16099,16099,W Utica St & W 7th St,,43.450832,-76.515575,,,,,,0
16101,16101,W Utica St & W 5th St,,43.451446,-76.513517,,,,,,0
16103,16103,W Utica St & W 3rd St,,43.452077,-76.511421,,,,,,0
16105,16105,W 7th St & Erie St,,43.448506,-76.514088,,,,,,0
16109,16109,Erie St & Hawley St,,43.447064,-76.518613,,,,,,0
16112,16112,Hawley St & Ellen St,,43.444063,-76.518452,,,,,,0
16113,16113,Ellen St & Hart St,,43.444014,-76.516181,,,,,,0
16115,16115,Ellen St & W 7th St,,43.444128,-76.512731,,,,,,0
16116,16116,Ellen St & W 5th St,,43.444204,-76.510646,,,,,,0
16117,16117,Ellen St & W 3rd St,,43.444281,-76.508201,,,,,,0
16119,16119,W 3rd St & Varick St,,43.446252,-76.508172,,,,,,0
16121,16121,W 3rd St & Niagara St,,43.448274,-76.509023,,,,,,0
16122,16122,W 3rd St & Erie St,,43.449509,-76.509711,,,,,,0
16125,16125,W 3rd St & Mohawk St,,43.453303,-76.511848,,,,,,0
16126,16126,W 3rd St & W Oneida St,,43.454565,-76.512548,,,,,,0
16127,16127,W 3rd St & W Bridge St,,43.455809,-76.513236,,,,,,0
16130,16130,W 3rd St & Niagara St,,43.4484,-76.509098,,,,,,0
16132,16132,W 3rd St & Varick St,,43.446377,-76.508185,,,,,,0
16134,16134,W 3rd St & Ellen St,,43.444317,-76.508102,,,,,,0
16135,16135,Ellen St & W 5th St,,43.444241,-76.510311,,,,,,0
16136,16136,Ellen St & W 7th St,,43.444174,-76.512421,,,,,,0
16138,16138,Ellen St & Hart St,,43.444059,-76.515858,,,,,,0
16139,16139,Ellen St & Hawley St,,43.443983,-76.518266,,,,,,0
16146,16146,Erie St & W 7th St,,43.448354,-76.514113,,,,,,0
16148,16148,W 7th St & W Utica St,,43.450797,-76.515301,,,,,,0
16149,16149,W 7th St & Mohawk St,,43.452086,-76.516051,,,,,,0
16151,16151,W 7th St & W Bridge St,,43.454591,-76.517439,,,,,,0
16152,16152,W 7th St & W Oneida St,,43.453562,-76.516914,,,,,,0
16153,16153,W 7th St & W Mohawk St,,43.452202,-76.516188,,,,,,0
16154,16154,W 7th St & W Utica St,,43.451047,-76.515501,,,,,,0
16160,16160,SUNY Oswego Romney Lot Shelter,,43.450246,-76.534378,,,,,,0
16164,16164,Sheldon Ave & Takamine Rd,,43.454939,-76.534832,,,,,,0
16168,16168,Rudolph St & Centennial Dr,,43.456702,-76.539817,,,,,,0
16169,16169,Walker Health Center,,43.455397,-76.542766,,,,,,0
16170,16170,Penfield Library,,43.454301,-76.543953,,,,,,0
16182,16182,Rudolph St & Onondaga Hall,,43.451412,-76.549911,,,,,,0
16183,16183,Penfield Library,,43.454218,-76.545082,,,,,,0
16184,16184,Walker Health Center,,43.455469,-76.542468,,,,,,0
16185,16185,Rudolph St & Centennial Dr,,43.456567,-76.540028,,,,,,0
16188,16188,Co Route 57 & Highland Dr,,43.418136,-76.477321,,,,,,0
16189,16189,Co Route 57 & Dutch Ridge Rd,,43.41256,-76.474647,,,,,,0
16190,16190,Co Rt 57 & Co Rt 45,,43.400841,-76.470428,,,,,,0
16193,16193,State Route 57 & Gaskin Rd,,43.191761,-76.274849,,,,,,0
16194,16194,Route 57 & Linda Ln,,43.185458,-76.26786,,,,,,0
16201,16201,Oswego Rd & Mendenhall Dr,,43.176469,-76.252799,,,,,,0
16203,16203,Oswego Rd & Anguilla Dr,,43.175601,-76.250858,,,,,,0
16209,16209,Oswego St & Meyers Rd,,43.112489,-76.212033,,,,,,0
16211,16211,Oswego Rd & Bel Harbor Dr,,43.141171,-76.227848,,,,,,0
16214,16214,Oswego Rd & Canvasback Dr,,43.175905,-76.251439,,,,,,0
16215,16215,Oswego Rd & Route 31,,43.180176,-76.261071,,,,,,0
16216,16216,Soule Rd & Fairway Dr E,,43.171023,-76.226343,,,,,,0
16219,16219,Route 31 & Carling Rd,STATE ROUTE 31 & CARLING RD,43.185423,-76.238926,,,,,,0
16220,16220,Route 31 & Dell Center Dr,STATE ROUTE 31 & DELL CENTER DR,43.185191,-76.24428,,,,,,0
16221,16221,Route 31 & Route 57,,43.180319,-76.261083,,,,,,0
16222,16222,Route 57 & Linda Ln,,43.185297,-76.267576,,,,,,0
